Year-Week,Open,Close,High,Low,Volume,Mean,SD,Label
2018-00,45.91,46.07,46.22,45.34,49330300.0,0.03749999999999787,0.31885537473907927,Good
2018-01,45.95,46.15,46.39,45.86,49885000.0,-0.010000000000002274,0.1615549442140328,Good
2018-02,46.15,47.16,47.25,46.14,56742700.0,0.21749999999999758,0.09594920531197905,Good
2018-03,47.14,48.53,48.62,47.09,65431800.0,0.5079999999999985,0.2760072462816858,Good
2018-04,48.21,46.73,48.46,46.63,58219200.0,0.2539999999999992,0.5892096401112253,Bad
2018-05,46.65,43.13,46.92,42.19,112635800.0,-0.2919999999999973,0.9933076059308116,Bad
2018-06,43.56,44.98,45.64,43.37,71979700.0,-0.1519999999999996,0.49086046897259816,Bad
2018-07,44.75,44.04,44.83,43.22,47585200.0,-0.43499999999999694,0.5688804795385399,Bad
2018-08,44.23,43.72,44.39,42.82,69214000.0,-0.4559999999999974,0.5603570290448739,Bad
2018-09,43.57,44.82,44.82,43.47,55024600.0,-0.18999999999999773,0.491243320565276,Good
2018-10,44.95,43.46,45.09,43.45,77581000.0,-0.5039999999999992,0.25908299828433196,Bad
2018-11,43.46,42.33,43.71,42.29,64743400.0,-0.7240000000000023,0.5225093300602383,Bad
2018-12,42.61,43.43,43.92,42.25,49631000.0,-0.7850000000000037,0.918626692405574,Good
2018-13,43.44,43.92,44.61,42.47,66458700.0,-0.5300000000000011,0.8978641322605573,Bad
2018-14,44.03,44.51,44.69,43.72,49967800.0,-0.4960000000000008,0.5625691068659933,Good
2018-15,44.65,43.74,45.03,43.58,49858600.0,-0.7020000000000011,0.5480145983457019,Bad
2018-16,43.74,43.31,44.1,41.91,74516000.0,-0.7120000000000004,0.8836537783543967,Bad
2018-17,43.5,42.36,43.69,41.52,70586700.0,-0.8639999999999987,0.7986989420300994,Bad
2018-18,42.34,42.14,42.49,41.67,47949500.0,-0.9559999999999989,0.8761232789967388,Bad
2018-19,42.25,42.18,42.38,41.45,65563300.0,-1.014,0.9731556915519725,Bad
2018-20,42.31,42.4,42.6,41.93,44380600.0,-1.018000000000002,1.024294879417055,Good
2018-21,42.12,43.12,43.32,42.1,51177100.0,-1.087500000000004,1.30611303109647,Good
2018-22,43.36,43.95,44.0,43.04,54933300.0,-0.7440000000000027,0.9154911250252542,Good
2018-23,43.95,44.12,44.52,43.45,66773100.0,-0.6080000000000055,0.7946571587798119,Good
